4E9C (亜): アジア,次のランク,後に来ます,〜の特徴を持つ | Asia,rank next,come after,-ous
928D (銍): 鎌 | sickle
928E (銎):  | 
9292 (銒):  | 
9297 (銗):  | 
9299 (銙):  | 
929F (銟):  | 
92A0 (銠): ロジウム（要素）,ルテニウム | Rhodium (element),Ruthenium
92A4 (銤): オスミウム（要素） | Osmium (element)
92A5 (銥): イリジウム（要素） | Iridium (element)
92A7 (銧): 剣先,ラジウム（要素） | point of a sword,Radium (element)
92A8 (銨): アンモニウム | ammonium
92AB (銫): セリウム（要素） | Cesium (element)
92AF (銯):  | 
92B2 (銲): 半田,溶接,脚の鎧,脛当て | solder,weld,leg armor,greaves
92B6 (銶): 彫刻刀 | chisel
92B8 (銸):  | 
92BA (銺):  | 
92BB (銻): アンチモン（要素）,アンチモン | Antimony (element),stibium
92BC (銼): 大工ファイル,スムーズなファイル | carpenter\'s file,file smooth
92BD (銽):  | 
92BF (銿):  | 
92C0 (鋀): トリウム（要素） | Thorium (element)
92C1 (鋁): アルミニウム（要素） | Aluminium (element)
92C2 (鋂): ビットカップ | bit cup
92C3 (鋃): ロックランタン | lock lanthanum
92C5 (鋅): 亜鉛（要素） | Zinc (element)
92C6 (鋆): ゴールド（要素）,個人名で使用される文字 | Gold (element),character used in personal name
92C7 (鋇): バリウム（要素） | Barium (element)
92C8 (鋈): 銀めっき | silver plating
92CB (鋋):  | 
92CC (鋌): インゴット,金属の棒,急ぐ | ingots,bars of metal,hurry
92CD (鋍): ベリリウム（要素） | Beryllium (element)
92CE (鋎):  | 
92D0 (鋐): 今日の湖北省の状態 | state in today\'s Hubei province
92D3 (鋓):  | 
92D5 (鋕): 刻む | engrave
92D7 (鋗):  | 
92D8 (鋘): 剣 | sword
92D9 (鋙): ミスフィット,不一致の,楽器,鍬 | misfit,discordant,music instrument,hoe
92DC (鋜): 足枷,束縛 | fetters,shackles
92DD (鋝): 6オンス,古代の測定 | 6 oz,ancient measurement
92DF (鋟): 彫る | carve
92E0 (鋠):  | 
92E1 (鋡):  | 
92E3 (鋣):  | 
92E5 (鋥):  | 
92E7 (鋧):  | 
92E8 (鋨): オスミウム（要素） | Osmium (element)
92EC (鋬):  | 
92EE (鋮): 人名 | person\'s name
92F0 (鋰): リチウム（要素） | Lithium (element)
92F9 (鋹): シャープ,鋭いエッジ,鋭くとがった先 | sharp,keen edge,sharp point
92FB (鋻):  | 
92FF (鋿):  | 
9300 (錀):  | 
9302 (錂):  | 
9308 (錈): 鉄を曲げ | to bend iron
930D (錍):  | 
9311 (錑):  | 
9314 (錔): キャップ | cap
9315 (錕): 古代の秘蔵の剣 | ancient treasured sword
931C (錜):  | 
931D (錝):  | 
931E (錞): 楽器 | instrument
931F (錟): 長い槍 | long spear
9321 (錡): ペンの種類,ノミの種類 | kind of pen,kind of chisel
9324 (錤): 鍬 | hoe
9325 (錥):  | 
9327 (錧):  | 
9329 (錩): 容器 | vessel
932A (錪):  | 
9333 (錳): マンガン | manganese
9334 (錴): ロジウム（要素） | Rhodium (element)
9336 (錶): 時計,クロック | watch,clock
9337 (錷): ガドリニウム（要素） | Gadolinium (element)
9347 (鍇): 高品質の鉄 | high quality iron
9348 (鍈):  | 
9349 (鍉): スプーン,キー | spoon,key
9350 (鍐): おもがい,花嫁上の飾り | headstall,ornament on a bride
9351 (鍑):  | 
9352 (鍒):  | 
9355 (鍕):  | 
9357 (鍗):  | 
9358 (鍘): 草や干し草を切断するための鎌 | sickle for cutting grass or hay
935A (鍚): 前髪 | frontlet
935E (鍞):  | 
9364 (鍤): スペード,シャベル,マーキングピン | spade,shovel,marking pin
9365 (鍥): 鎌,カット,彫る,刻む | sickle,cut,carve,engrave
9367 (鍧):  | 
9369 (鍩): ノーベリウム（要素） | Nobelium (element)
936A (鍪): 鉄鍋,金属キャップ | an iron pan,metal cap
936D (鍭): 矢印 | arrow
936F (鍯):  | 
9370 (鍰): 測定,お金,コイン | measure,money,coins
9371 (鍱): 金属の薄い板 | thin plates of metal
9373 (鍳):  | 
9374 (鍴):  | 
9376 (鍶): ストロンチウム（要素） | Strontium (element)
937A (鍺): ゲルマニウム（元素）,車の車軸に点滅金属 | Germanium (element),metal flashing on axle of cart
937D (鍽):  | 
937F (鍿):  | 
9380 (鎀):  | 
9381 (鎁):  | 
9382 (鎂): マグネシウム（元素） | Magnesium (element)
9388 (鎈):  | 
938A (鎊): ポンド | pound sterling
938B (鎋): ホイールの要,支配または制御する,手押し車の騒音 | the linch-pin of a wheel,to govern or control,the noise of a barrow
938D (鎍): 鎖,ワイヤー,（時計）春 | chain,wire,(watch) spring
938F (鎏): 純金 | pure gold
9392 (鎒): 鍬する,雑草を取る | to hoe,to weed
9395 (鎕):  | 
9398 (鎘): カドミウム（要素） | Cadmium (element)
939B (鎛): 大ベル,鍬,スペード | large bell,hoe,spade
939E (鎞): すきの刃,バーブ,ランセット | plowshare,barb,lancet
93A1 (鎡): 鍬,マトック | hoe,mattock
93A3 (鎣): 研磨 | polish
93A4 (鎤): 鐘の音,小さな鐘 | sound of a bell,small bell
93A6 (鎦): 蒸留する,ルテチウム,姓 | distill,lutecium,surname
93A8 (鎨):  | 
93AB (鎫): 馬の頭の上に飾り | ornament over the horse\'s head
93B4 (鎴): ストロンチウム（要素） | Strontium (element)
93B5 (鎵): ガリウム（要素） | Gallium (element)
93B6 (鎶): コロンビウム（要素） | Columbium (element)
93BA (鎺):  | 
93A9 (鎩): 脱皮サマリウム | moult samarium
93C1 (鏁):  | 
93C4 (鏄):  | 
93C5 (鏅):  | 
93C6 (鏆):  | 
93C7 (鏇): 旋盤 | lathe
93C9 (鏉):  | 
93CA (鏊):  | 
93CB (鏋):  | 
93CC (鏌): 剣 | sword
93CD (鏍):  | 
93D3 (鏓):  | 
93D9 (鏙):  | 
93DC (鏜): ボーリングツール | boring tool
93DE (鏞): 楽器として使用される大型の鐘 | large bell used as musical instrument
93DF (鏟): スペード,シャベル,こて,スクープ | spade,shovel,trowel,scoop
93E2 (鏢): ダーツ,槍,銛,護衛 | dart,spear,harpoon,escort
93E6 (鏦): 槍 | spear
93E7 (鏧):  | 
93F9 (鏹): コイン,お金,富 | coins,money,wealth
93F7 (鏷): プロトアクチニウム（要素） | Protactinium (element)
93F8 (鏸):  | 
93FA (鏺):  | 
93FB (鏻): ホスホニウム（要素）,リン | Phosphonium (element),phosphorus
93FD (鏽): さび,腐食 | rust,corrode
9401 (鐁):  | 
9402 (鐂):  | 
9404 (鐄): 鐘 | bell
9408 (鐈):  | 
9409 (鐉):  | 
940D (鐍):  | 
940E (鐎):  | 
940F (鐏): キャップ | cap
9415 (鐕):  | 
9416 (鐖):  | 
9417 (鐗):  | 
941F (鐟): チタン（要素） | Titanium (element)
942E (鐮): 鎌 | sickle
942F (鐯):  | 
9431 (鐱):  | 
9432 (鐲): ブレスレット,腕章,小さな鐘 | bracelet,arm-band,small bell
9433 (鐳): ドジョウ,ドジョウ属anguillicaudatus,ラジウム（要素） | loach,misgurnus anguillicaudatu,Radium (element)
9434 (鐴):  | 
943B (鐻): ドラムスティック | drumstick
943F (鐿): イッテルビウム（要素） | Ytterbium (element)
943D (鐽):  | 
9443 (鑃):  | 
9445 (鑅):  | 
9448 (鑈):  | 
944A (鑊): 大釜,大きな鉄鍋 | cauldron,large iron pot
944C (鑌): 高品質の鉄 | high quality iron
9455 (鑕): タングステン（要素）,ウォルフラム | Tungsten (element),Wolfram
9459 (鑙):  | 
945C (鑜):  | 
945F (鑟):  | 
9461 (鑡):  | 
9463 (鑣): 馬のビット,手綱,ライド | horse\'s bit,bridle,ride
9468 (鑨):  | 
946B (鑫): 名前に使用 | used in names
946D (鑭): ランタン（要素） | Lanthanum (element)
946E (鑮):  | 
946F (鑯):  | 
9471 (鑱): スペード,こて | spade,trowel
9472 (鑲): インサート,インレイ,セット,マウント,埋める,収まる | insert,inlay,set,mount,fill | long radical (no. 168)
9579 (镹):  | 
957E (镾):  | 
9584 (閄):  | 
9588 (閈): 村 | village
958C (閌): ドア | door
958D (閍):  | 
958E (閎): ゲート,バリア,ワイド,広大な,拡大する | gate,barrier,wide,vast,expand
959D (閝):  | 
959E (閞):  | 
959F (閟): 隠す,黙秘する,隠れ家 | hide,keep secret,hideaway
95A1 (閡): ブロックされました,分離しました,防ぐために | blocked,separated,to prevent
95A6 (閦): 群集,サンスクリットKSOの音訳,例えば akSobhya | crowd,transliteration of Sanskrit "kSo",e.g. akSobhya
95A9 (閩): 福建省,川,部族 | Fujian province,river,tribe
95AB (閫): しきい値,女性の宿舎 | threshold,women\'s quarters
95AC (閬): ハイドア,高いゲート,高い,ロフト | high door,high gate,high,loft
95B4 (閴): 静か | quiet
95B6 (閶): 天国の門,宮殿の正門 | gate of heaven,main gate of palace
95BA (閺):  | 
95BD (閽): 門番,ゲート,ドア | gatekeeper,gate,door
95BF (閿): ウェン翔,河南省 | Wen Xiang,Henan province
95C6 (闆): ボス,所有者,担当者 | boss,the owner,person in charge
95C8 (闈): ゲート,ドア,宿舎 | gate,door,living quarters
95C9 (闉): 湾曲しました,曲がりました,湾曲した壁の囲い | curved,bent,curved wall enclosure
95CB (闋): 閉じる,シャット,望楼,残り | close,shut,watch-tower,rest
95D0 (闐): 新疆地域での場所 | place in Xinjiang province
95D1 (闑): 敷居 | the doorsill
95D2 (闒): 上部の階のドアや窓 | upper-story door or window
95D3 (闓): 開いた,穏やかな | open,peaceful
95D9 (闙):  | 
95DA (闚): フラッシュ,点滅する,鋼の外観 | flash,flashing,steal look
95DD (闝):  | 
95DE (闞): 一目,のぞき,とどろき,うなり声 | glance,peep,roar,growl
95DF (闟): 平和的に,静かに | peacefully,quietly
95E0 (闠): 市場のゲート | gate of a market
95E4 (闤): 市場の周りの壁 | wall around market place
95E6 (闦):  | 
961D (阝): 場所,ラジカル左村 -  2ストローク形（なし170。） | place,left village radical - 2 stroke form (no. 170)
961E (阞): 静脈 | vein
9622 (阢):  | 
9624 (阤): 丘 | hill
9625 (阥):  | 
9626 (阦):  | 
962C (阬): ピット,穴,軸 | pit,hole,shaft
9631 (阱): 落とし穴,トラップ,スネア | pitfall,trap,snare
9633 (阳): 男性の原則,光,太陽 | "male" principle,light,sun
9637 (阷):  | 
9638 (阸): 苦痛,困難 | distress,difficulty
9639 (阹): ペン,サラウンドへ | pen,to surround
963A (阺):  | 
963C (阼): 東のドアや王位を導くステップ | steps leading to the eastern door or throne
963D (阽):  | 
9641 (陁): 険しい土手,下り傾斜 | steep bank,declivity
9652 (陒):  | 
9654 (陔): ステップ,テラス,グレード,レッジ | step,terrace,grade,ledge
9656 (陖):  | 
9657 (陗): 急な丘,険しい | steep hill,precipitous
9658 (陘): 汚する,峠,渓谷 | defile,mountain pass,gorge
9661 (陡): 急な,傾斜しました,突然,突然 | steep,sloping,abruptly,sudden
966E (陮):  | 
9674 (陴): 街の壁に欄干 | parapet on a city wall
967B (陻): 小さな丘,マウンド,埋め込む,ダム | small hill,mound,bury,dam
967C (陼): 小島 | islet
967E (陾): ファイル内の | in file
967F (陿):  | 
9681 (隁):  | 
9682 (隂): いかがわしい,秘密,ダーク,神秘的な,コールド,自然の中で女性原理の負 | shady,secret,dark,mysterious,cold,the negative of female principle in nature
9683 (隃): 超える,山西省での状態 | to exceed,state in Shanxi province
9684 (隄): 堤防,堤防 | dike,embankment
9689 (隉): 障害で,国家の危険な状態 | in disorder,dangerous condition of the State
9691 (隑):  | 
9696 (隖): 塹壕,バンク,低い壁 | entrenchment,bank,low wall
969A (隚):  | 
969D (隝):  | 
969F (隟):  | 
96A4 (隤): 遺跡に落つ,崩壊する | to fall in ruins,to collapse
96A5 (隥):  | 
96A6 (隦):  | 
96A9 (隩): 深遠,微妙,暖かい,阻害 | profound,subtle,warm,inhabited
96AE (隮): 立ち上がるする,虹,落下する | to rise up,rainbow,to fall
96AF (隯):  | 
96B3 (隳): 破壊する,打倒へ | to destroy,to overthrow
96BA (隺): 鳥の飛行,高い野心 | bird flying,high ambition
96CA (雊): 男性のキジのカラス | the crow of a male pheasant
96D2 (雒): 白いたてがみのある黒い馬 | black horse with white mane
5DB2 (嶲): 四川省の旧市街の名前,カッコウ,ホイールの回転 | name of an old town in Sichuan,cuckoo,revolution of a wheel
96D8 (雘): 赤い土から作られた染料,黄土 | dye made from red soil,ochre
96DA (雚): 鷺,猪口 | heron,small cup
96DD (雝): 湿地,プール,調和の取れました | marsh,pool,harmonious
96DE (雞): 鶏,家禽 | chickens,domestic fowl
96DF (雟): スズメ,回転する,地名 | sparrow,revolve,place name
96E9 (雩): 雨のために犠牲を提供しています | offer sacrifice for rain
96EF (雯): 雲パターン,雲の着色 | cloud patterns,coloring of cloud
96F1 (雱): 重く雪 | snowing heavily
96FA (雺):  | 
9702 (霂): 細かい雨,霧雨 | fine rain,drizzle
9703 (霃): 長く続けて雨 | long continued rains
9705 (霅): サンダー | thunder
9709 (霉): うどん粉病,型,かびの生えました,かびの生えました | mildew,mold,moldy,mildewed
971A (霚):  | 
971B (霛):  | 
971D (霝): 雨の滴,滴に落つ | drops of rain,to fall in drops
9721 (霡): 小雨の雨,（使用図。好意の）ソークする | drizzling rain,to soak (used fig. of favours)
9722 (霢): ほこり | dust
9723 (霣): 秋 | fall
9728 (霨): 曇り | clouding
9731 (霱): 雲 | cloud
9733 (霳):  | 
9741 (靁): 厚い,強い | thick,strong
9743 (靃):  | 
974A (靊):  | 
974E (靎):  | 
974F (靏):  | 
9755 (靕):  | 
9757 (靗):  | 
9758 (靘):  | 
975A (靚): 化粧顔,オーナメント,静か | make up face,ornament,quiet
975B (靛): インジゴ,任意の青（植物）染料 | indigo,any blue (plant) dye
9763 (靣):  | 
9767 (靧): 洗顔 | wash face
976A (靪): しくじる,パッチへ | to cobble,to patch
976E (靮): 手綱 | bridle
9773 (靳): 襟の下で観賞彩る | ornamental trappings under collar
9776 (靶): ターゲット,戦車上の泥よけ | target,splashboard on chariot
9777 (靷): 時間を接続革ベルト | the leather belts that connect h
9778 (靸): 子供の靴,スリッパ | child\'s shoes,slippers
977B (靻):  | 
977D (靽):  | 
977F (靿): ブーツの脚 | the leg of a boot
9780 (鞀): ドラム | drum
9789 (鞉): ドラム | drum
9795 (鞕):  | 
9796 (鞖):  | 
9797 (鞗): 手綱 | reins
9799 (鞙): 罰金 | fine
979A (鞚): 手綱 | bridle
979E (鞞): シース | sheath
979F (鞟): 肌 | skin
97A2 (鞢):  | 
97AC (鞬): 馬に乗って矢筒,格納 | quiver on a horse,store
97AE (鞮): 革靴 | leather shoes
97B1 (鞱):  | 
97B2 (鞲): 革アームガード | leather arm guard
97B5 (鞵): 靴,ブーツ | shoes,boots
97B6 (鞶): 大きな革ベルト | big leather belt
97B8 (鞸): 革アームガード | leather arm guard
97B9 (鞹): 肌 | skin
97BA (鞺): ドラムの音 | sound of drums
97BC (鞼):  | 
97BE (鞾): ブーツ | boots
97BF (鞿):  | 
97C1 (韁): 手綱,ホルター,手綱 | reins,halter,bridle
97C4 (韄):  | 
97C5 (韅): ハーネス | harness
97C7 (韇):  | 
97C9 (韉): サドルブランケット | saddle blanket
97CA (韊): 弓用ケース | case for a bow
97CC (韌): 強力かつ柔軟な,弾力性のある | strong and pliable,resilient
97CD (韍): 革製の服 | leather garment
97CE (韎): 赤 | red
97D0 (韐): 赤染めの革で作られた膝パッド | knee-pad made of red-dyed leather
97D1 (韑):  | 
97D4 (韔): 弓のラッパーまたはケース | wrapper or case for bow
97D7 (韗):  | 
97D8 (韘): 射手の親指リング | archer\'s thumb ring
97D9 (韙): 右,適切な,プロプライエタリ | right,proper,propriety
97DD (韝): レザー腕章 | leather arm-band
97DE (韞): 橙色,隠す,隠す | an orange color,hide,conceal
97E0 (韠): 膝パッド | knee-pad
97DB (韛):  | 
97E1 (韡): ゴージャス | gorgeous
97E4 (韤): 靴下,ストッキング | socks,stockings
97EF (韯): 野生のタマネギやネギ | wild onions or leeks
97F1 (韱): 野生のタマネギやネギ | wild onions or leeks
97F4 (韴):  | 
97F7 (韷):  | 
97F8 (韸):  | 
97FA (韺): 音楽 | music
9807 (頇): 太字,全面座,愚か | large face,flat face,stupid
980A (頊): 悲しむ,心配して | grieved,anxious
9819 (頙): 正しい | correct
980D (頍): 頭を高めるために | to raise one\'s head
980E (頎): スリムで背が高い | tall and slim
9814 (頔): 善美 | good and beautiful
9816 (頖): 周王朝の学校,分散させます,バラバラになる | Zhou dynasty school,disperse,fall apart
981C (頜): 口,顎 | mouth,jaw
981E (頞): （鼻）ブリッジ | (nose) bridge
9820 (頠): 静か | quiet
9823 (頣): 隆起した目で他人を表示する | to view others with raised eyes
9826 (頦): 顎 | chin
982B (頫): 弓,うなずき,見下すような態度を取る | bow,nod,condescend
982E (頮): ウォッシュ | wash
982F (頯): 頬骨 | cheekbone
